current_year,affiliation,timing,plot_id,count,missing
2025,AL01,1.0,AUOatPea401.1,4,complete
2025,AL01,1.0,AUOatPea402.1,4,biomass
2025,AL01,1.0,AUOatPea402.3,2,image
2025,AL01,1.0,AUOatPea403.1,4,biomass
2025,AL01,1.0,AUOatPea403.2,1,image
2025,AL01,1.0,AUOatPea404.1,4,biomass
2025,AL01,1.0,AUOatPea404.3,1,image
2025,AL01,1.0,AUOatPea405.1,4,biomass
2025,AL01,1.0,AUOatPea405.3,8,complete
2025,AL01,1.0,AUOatPea406.2,8,complete
2025,AL01,1.0,AUOatPea406.3,4,biomass
2025,AL01,1.0,AUOatPea407.1,8,complete
2025,AL01,1.0,AUOatPea408.1,4,complete
2025,AL01,1.0,AUOatPea409.2,8,complete
2025,AL01,1.0,AUOatPea410.1,8,complete
2025,AL01,1.0,AUOatPea411.3,4,complete
2025,AL01,1.0,AUOatPea412.2,4,complete
2025,AL01,1.0,AUOatPea413.3,8,complete
2025,AL01,1.0,AUOatPea414.3,8,complete
2025,AL01,1.0,AUOatPea415.2,4,complete
2025,AL01,1.0,AUOatPea416.2,4,complete
2025,AL01,1.0,AUOatPea417.1,8,complete
2025,AL01,1.0,AUOatPea417.3,1,image
2025,AL01,1.0,AUOatPea418.2,4,biomass
2025,AL01,1.0,AUOatPea419.1,8,complete
2025,AL01,1.0,AUOatPea420.3,4,complete
2025,AL01,2.0,20EXTRAPLOTS_401.2,1,image
2025,AL01,2.0,20EXTRAPLOTS_402.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_403.1,1,image
2025,AL01,2.0,20EXTRAPLOTS_404.2,1,image
2025,AL01,2.0,20EXTRAPLOTS_405.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_406.1,2,image
2025,AL01,2.0,20EXTRAPLOTS_407.3,2,image
2025,AL01,2.0,20EXTRAPLOTS_408.2,1,image
2025,AL01,2.0,20EXTRAPLOTS_409.1,2,image
2025,AL01,2.0,20EXTRAPLOTS_410.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_411.1,1,image
2025,AL01,2.0,20EXTRAPLOTS_412.1,1,image
2025,AL01,2.0,20EXTRAPLOTS_413.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_414.1,2,image
2025,AL01,2.0,20EXTRAPLOTS_415.3,1,image
2025,AL01,2.0,20EXTRAPLOTS_416.1,1,image
2025,AL01,2.0,20EXTRAPLOTS_417.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_418.3,1,image
2025,AL01,2.0,20EXTRAPLOTS_419.2,2,image
2025,AL01,2.0,20EXTRAPLOTS_420.2,1,image
